rec_id,season,year,month,hour,is_holiday,weekday,is_workingday,weather_condition,temp,atemp,humidity,windspeed,casual,registered,total_rent_count,temp_c,zona_suhu
75,Spring,2011,January,06:00,No,Tuesday,Yes,Clear,0.12,0.1515,0.74,0.1045,0,36,36,4.92,Dingin
76,Spring,2011,January,07:00,No,Tuesday,Yes,Clear,0.12,0.1515,0.74,0.1343,2,92,94,4.92,Dingin
77,Spring,2011,January,08:00,No,Tuesday,Yes,Clear,0.14,0.1515,0.69,0.1642,2,177,179,5.74,Dingin
78,Spring,2011,January,09:00,No,Tuesday,Yes,Clear,0.16,0.1515,0.64,0.2239,2,98,100,6.5600000000000005,Dingin
79,Spring,2011,January,10:00,No,Tuesday,Yes,Mist + Cloudy,0.16,0.1364,0.69,0.3284,5,37,42,6.5600000000000005,Dingin
80,Spring,2011,January,11:00,No,Tuesday,Yes,Clear,0.22,0.2121,0.51,0.2985,7,50,57,9.02,Dingin
81,Spring,2011,January,12:00,No,Tuesday,Yes,Clear,0.22,0.2273,0.51,0.1642,12,66,78,9.02,Dingin
82,Spring,2011,January,13:00,No,Tuesday,Yes,Clear,0.24,0.2273,0.56,0.194,18,79,97,9.84,Dingin
83,Spring,2011,January,14:00,No,Tuesday,Yes,Clear,0.26,0.2576,0.52,0.2239,9,54,63,10.66,Sejuk
84,Spring,2011,January,15:00,No,Tuesday,Yes,Clear,0.28,0.2727,0.52,0.2537,17,48,65,11.48,Sejuk
85,Spring,2011,January,16:00,No,Tuesday,Yes,Clear,0.3,0.2879,0.49,0.2537,15,68,83,12.299999999999999,Sejuk
86,Spring,2011,January,17:00,No,Tuesday,Yes,Clear,0.28,0.2727,0.48,0.2239,10,202,212,11.48,Sejuk
87,Spring,2011,January,18:00,No,Tuesday,Yes,Clear,0.26,0.2576,0.48,0.194,3,179,182,10.66,Sejuk
88,Spring,2011,January,19:00,No,Tuesday,Yes,Clear,0.24,0.2576,0.48,0.1045,2,110,112,9.84,Dingin
89,Spring,2011,January,20:00,No,Tuesday,Yes,Clear,0.24,0.2576,0.48,0.1045,1,53,54,9.84,Dingin
90,Spring,2011,January,21:00,No,Tuesday,Yes,Clear,0.22,0.2727,0.64,0.0,0,48,48,9.02,Dingin
91,Spring,2011,January,22:00,No,Tuesday,Yes,Clear,0.22,0.2576,0.64,0.0896,1,34,35,9.02,Dingin
92,Spring,2011,January,23:00,No,Tuesday,Yes,Clear,0.2,0.2273,0.69,0.0896,2,9,11,8.200000000000001,Dingin
93,Spring,2011,January,00:00,No,Wednesday,Yes,Clear,0.2,0.2576,0.64,0.0,0,6,6,8.200000000000001,Dingin
94,Spring,2011,January,01:00,No,Wednesday,Yes,Clear,0.16,0.197,0.74,0.0896,0,6,6,6.5600000000000005,Dingin
95,Spring,2011,January,02:00,No,Wednesday,Yes,Clear,0.16,0.197,0.74,0.0896,0,2,2,6.5600000000000005,Dingin
96,Spring,2011,January,04:00,No,Wednesday,Yes,Clear,0.24,0.2273,0.48,0.2239,0,2,2,9.84,Dingin
97,Spring,2011,January,05:00,No,Wednesday,Yes,Clear,0.22,0.2273,0.47,0.1642,0,3,3,9.02,Dingin
98,Spring,2011,January,06:00,No,Wednesday,Yes,Clear,0.2,0.197,0.47,0.2239,0,33,33,8.200000000000001,Dingin
99,Spring,2011,January,07:00,No,Wednesday,Yes,Clear,0.18,0.1818,0.43,0.194,1,87,88,7.38,Dingin
100,Spring,2011,January,08:00,No,Wednesday,Yes,Clear,0.2,0.1818,0.4,0.2985,3,192,195,8.200000000000001,Dingin
101,Spring,2011,January,09:00,No,Wednesday,Yes,Clear,0.22,0.197,0.37,0.3284,6,109,115,9.02,Dingin
102,Spring,2011,January,10:00,No,Wednesday,Yes,Clear,0.22,0.197,0.37,0.3284,4,53,57,9.02,Dingin
103,Spring,2011,January,11:00,No,Wednesday,Yes,Clear,0.26,0.2273,0.33,0.3284,12,34,46,10.66,Sejuk
104,Spring,2011,January,12:00,No,Wednesday,Yes,Clear,0.26,0.2273,0.33,0.3284,5,74,79,10.66,Sejuk
105,Spring,2011,January,13:00,No,Wednesday,Yes,Clear,0.28,0.2576,0.3,0.2985,6,65,71,11.48,Sejuk
106,Spring,2011,January,14:00,No,Wednesday,Yes,Clear,0.3,0.2879,0.28,0.194,10,52,62,12.299999999999999,Sejuk
107,Spring,2011,January,15:00,No,Wednesday,Yes,Clear,0.3,0.2879,0.28,0.194,7,55,62,12.299999999999999,Sejuk
108,Spring,2011,January,16:00,No,Wednesday,Yes,Clear,0.3,0.3182,0.28,0.0896,4,85,89,12.299999999999999,Sejuk
109,Spring,2011,January,17:00,No,Wednesday,Yes,Clear,0.24,0.2273,0.38,0.194,4,186,190,9.84,Dingin
110,Spring,2011,January,18:00,No,Wednesday,Yes,Clear,0.24,0.2424,0.38,0.1343,3,166,169,9.84,Dingin
111,Spring,2011,January,19:00,No,Wednesday,Yes,Clear,0.24,0.2576,0.38,0.1045,5,127,132,9.84,Dingin
112,Spring,2011,January,20:00,No,Wednesday,Yes,Clear,0.22,0.2273,0.47,0.1642,7,82,89,9.02,Dingin
113,Spring,2011,January,21:00,No,Wednesday,Yes,Clear,0.2,0.197,0.51,0.194,3,40,43,8.200000000000001,Dingin
114,Spring,2011,January,22:00,No,Wednesday,Yes,Clear,0.18,0.197,0.55,0.1343,1,41,42,7.38,Dingin
115,Spring,2011,January,23:00,No,Wednesday,Yes,Clear,0.2,0.2576,0.47,0.0,1,18,19,8.200000000000001,Dingin
116,Spring,2011,January,00:00,No,Thursday,Yes,Clear,0.18,0.2424,0.55,0.0,0,11,11,7.38,Dingin
117,Spring,2011,January,01:00,No,Thursday,Yes,Clear,0.16,0.2273,0.64,0.0,0,4,4,6.5600000000000005,Dingin
118,Spring,2011,January,02:00,No,Thursday,Yes,Clear,0.16,0.2273,0.64,0.0,0,2,2,6.5600000000000005,Dingin
119,Spring,2011,January,04:00,No,Thursday,Yes,Mist + Cloudy,0.16,0.197,0.64,0.0896,0,1,1,6.5600000000000005,Dingin
120,Spring,2011,January,05:00,No,Thursday,Yes,Mist + Cloudy,0.14,0.1818,0.69,0.0896,0,4,4,5.74,Dingin
121,Spring,2011,January,06:00,No,Thursday,Yes,Mist + Cloudy,0.14,0.1667,0.63,0.1045,0,36,36,5.74,Dingin
122,Spring,2011,January,07:00,No,Thursday,Yes,Mist + Cloudy,0.16,0.2273,0.59,0.0,0,95,95,6.5600000000000005,Dingin
123,Spring,2011,January,08:00,No,Thursday,Yes,Clear,0.16,0.2273,0.59,0.0,3,216,219,6.5600000000000005,Dingin
124,Spring,2011,January,09:00,No,Thursday,Yes,Mist + Cloudy,0.18,0.2424,0.51,0.0,6,116,122,7.38,Dingin
125,Spring,2011,January,10:00,No,Thursday,Yes,Clear,0.2,0.2576,0.47,0.0,3,42,45,8.200000000000001,Dingin
126,Spring,2011,January,11:00,No,Thursday,Yes,Clear,0.22,0.2576,0.44,0.0896,2,57,59,9.02,Dingin
127,Spring,2011,January,12:00,No,Thursday,Yes,Clear,0.26,0.2879,0.35,0.0,6,78,84,10.66,Sejuk
128,Spring,2011,January,13:00,No,Thursday,Yes,Clear,0.26,0.2727,0.35,0.1045,12,55,67,10.66,Sejuk
129,Spring,2011,January,14:00,No,Thursday,Yes,Clear,0.28,0.2727,0.36,0.1642,11,59,70,11.48,Sejuk
130,Spring,2011,January,15:00,No,Thursday,Yes,Clear,0.28,0.2727,0.36,0.0,8,54,62,11.48,Sejuk
131,Spring,2011,January,16:00,No,Thursday,Yes,Clear,0.26,0.2576,0.38,0.1642,12,74,86,10.66,Sejuk
132,Spring,2011,January,17:00,No,Thursday,Yes,Clear,0.22,0.2273,0.51,0.1642,9,163,172,9.02,Dingin
133,Spring,2011,January,18:00,No,Thursday,Yes,Clear,0.22,0.2273,0.51,0.1343,5,158,163,9.02,Dingin
134,Spring,2011,January,19:00,No,Thursday,Yes,Clear,0.22,0.2576,0.55,0.0896,3,109,112,9.02,Dingin
135,Spring,2011,January,20:00,No,Thursday,Yes,Clear,0.2,0.2121,0.51,0.1642,3,66,69,8.200000000000001,Dingin
136,Spring,2011,January,21:00,No,Thursday,Yes,Mist + Cloudy,0.22,0.2121,0.55,0.2239,0,48,48,9.02,Dingin
137,Spring,2011,January,22:00,No,Thursday,Yes,Mist + Cloudy,0.22,0.2121,0.51,0.2836,1,51,52,9.02,Dingin
138,Spring,2011,January,23:00,No,Thursday,Yes,Mist + Cloudy,0.2,0.197,0.59,0.194,4,19,23,8.200000000000001,Dingin
139,Spring,2011,January,00:00,No,Friday,Yes,Mist + Cloudy,0.2,0.197,0.64,0.194,4,13,17,8.200000000000001,Dingin
140,Spring,2011,January,01:00,No,Friday,Yes,Mist + Cloudy,0.2,0.197,0.69,0.2239,2,5,7,8.200000000000001,Dingin
141,Spring,2011,January,02:00,No,Friday,Yes,Mist + Cloudy,0.2,0.197,0.69,0.2239,0,1,1,8.200000000000001,Dingin
142,Spring,2011,January,04:00,No,Friday,Yes,Mist + Cloudy,0.2,0.2121,0.69,0.1343,0,1,1,8.200000000000001,Dingin
143,Spring,2011,January,05:00,No,Friday,Yes,Light Snow/Rain,0.22,0.2727,0.55,0.0,0,5,5,9.02,Dingin
144,Spring,2011,January,06:00,No,Friday,Yes,Mist + Cloudy,0.2,0.2576,0.69,0.0,8,26,34,8.200000000000001,Dingin
145,Spring,2011,January,07:00,No,Friday,Yes,Clear,0.2,0.2121,0.69,0.1343,8,76,84,8.200000000000001,Dingin
146,Spring,2011,January,08:00,No,Friday,Yes,Clear,0.2,0.197,0.51,0.2537,20,190,210,8.200000000000001,Dingin
147,Spring,2011,January,09:00,No,Friday,Yes,Clear,0.2,0.1818,0.47,0.2985,9,125,134,8.200000000000001,Dingin
148,Spring,2011,January,10:00,No,Friday,Yes,Clear,0.22,0.197,0.37,0.3284,16,47,63,9.02,Dingin
149,Spring,2011,January,11:00,No,Friday,Yes,Mist + Cloudy,0.2,0.197,0.4,0.2239,19,48,67,8.200000000000001,Dingin
150,Spring,2011,January,12:00,No,Friday,Yes,Mist + Cloudy,0.2,0.197,0.37,0.2537,9,50,59,8.200000000000001,Dingin
151,Spring,2011,January,13:00,No,Friday,Yes,Mist + Cloudy,0.2,0.1818,0.37,0.2836,9,64,73,8.200000000000001,Dingin
152,Spring,2011,January,14:00,No,Friday,Yes,Mist + Cloudy,0.2,0.197,0.4,0.2537,7,43,50,8.200000000000001,Dingin
153,Spring,2011,January,15:00,No,Friday,Yes,Mist + Cloudy,0.2,0.2121,0.37,0.1642,9,63,72,8.200000000000001,Dingin
154,Spring,2011,January,16:00,No,Friday,Yes,Mist + Cloudy,0.2,0.2121,0.37,0.1642,5,82,87,8.200000000000001,Dingin
155,Spring,2011,January,17:00,No,Friday,Yes,Mist + Cloudy,0.2,0.2576,0.37,0.0,9,178,187,8.200000000000001,Dingin
156,Spring,2011,January,18:00,No,Friday,Yes,Clear,0.2,0.2273,0.4,0.0896,7,116,123,8.200000000000001,Dingin
157,Spring,2011,January,19:00,No,Friday,Yes,Clear,0.16,0.197,0.55,0.0896,3,92,95,6.5600000000000005,Dingin
158,Spring,2011,January,20:00,No,Friday,Yes,Clear,0.18,0.2121,0.47,0.1045,1,50,51,7.38,Dingin
159,Spring,2011,January,21:00,No,Friday,Yes,Clear,0.18,0.197,0.47,0.1343,0,39,39,7.38,Dingin
160,Spring,2011,January,22:00,No,Friday,Yes,Mist + Cloudy,0.18,0.197,0.43,0.1642,2,34,36,7.38,Dingin
161,Spring,2011,January,23:00,No,Friday,Yes,Mist + Cloudy,0.18,0.197,0.51,0.1642,1,14,15,7.38,Dingin
162,Spring,2011,January,00:00,No,Saturday,No,Mist + Cloudy,0.18,0.197,0.51,0.1642,1,24,25,7.38,Dingin
163,Spring,2011,January,01:00,No,Saturday,No,Mist + Cloudy,0.18,0.2121,0.55,0.0896,1,15,16,7.38,Dingin
164,Spring,2011,January,02:00,No,Saturday,No,Mist + Cloudy,0.18,0.2424,0.55,0.0,3,13,16,7.38,Dingin
165,Spring,2011,January,03:00,No,Saturday,No,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,7,7,7.38,Dingin
166,Spring,2011,January,04:00,No,Saturday,No,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,1,1,7.38,Dingin
167,Spring,2011,January,05:00,No,Saturday,No,Mist + Cloudy,0.16,0.1667,0.74,0.1642,0,5,5,6.5600000000000005,Dingin
168,Spring,2011,January,06:00,No,Saturday,No,Mist + Cloudy,0.16,0.1667,0.74,0.1642,0,2,2,6.5600000000000005,Dingin
169,Spring,2011,January,07:00,No,Saturday,No,Mist + Cloudy,0.16,0.1818,0.74,0.1045,1,8,9,6.5600000000000005,Dingin
170,Spring,2011,January,08:00,No,Saturday,No,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,15,15,6.5600000000000005,Dingin
171,Spring,2011,January,09:00,No,Saturday,No,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,20,20,6.5600000000000005,Dingin
172,Spring,2011,January,10:00,No,Saturday,No,Mist + Cloudy,0.18,0.197,0.8,0.1642,5,56,61,7.38,Dingin
173,Spring,2011,January,11:00,No,Saturday,No,Mist + Cloudy,0.2,0.1818,0.69,0.3881,2,60,62,8.200000000000001,Dingin
174,Spring,2011,January,12:00,No,Saturday,No,Mist + Cloudy,0.2,0.1818,0.59,0.3582,8,90,98,8.200000000000001,Dingin
175,Spring,2011,January,13:00,No,Saturday,No,Clear,0.2,0.1818,0.44,0.3284,7,95,102,8.200000000000001,Dingin
176,Spring,2011,January,14:00,No,Saturday,No,Clear,0.2,0.1667,0.32,0.4925,12,83,95,8.200000000000001,Dingin
177,Spring,2011,January,15:00,No,Saturday,No,Clear,0.2,0.1667,0.32,0.4478,5,69,74,8.200000000000001,Dingin
178,Spring,2011,January,16:00,No,Saturday,No,Clear,0.18,0.1364,0.29,0.4478,8,68,76,7.38,Dingin
179,Spring,2011,January,17:00,No,Saturday,No,Clear,0.16,0.1212,0.37,0.5522,5,64,69,6.5600000000000005,Dingin
180,Spring,2011,January,18:00,No,Saturday,No,Clear,0.14,0.1212,0.39,0.2985,3,52,55,5.74,Dingin
181,Spring,2011,January,19:00,No,Saturday,No,Clear,0.14,0.1212,0.36,0.2537,4,26,30,5.74,Dingin
182,Spring,2011,January,20:00,No,Saturday,No,Clear,0.12,0.1212,0.36,0.2537,0,28,28,4.92,Dingin
183,Spring,2011,January,21:00,No,Saturday,No,Clear,0.12,0.1061,0.39,0.3582,2,35,37,4.92,Dingin
184,Spring,2011,January,22:00,No,Saturday,No,Clear,0.12,0.1061,0.36,0.3881,1,33,34,4.92,Dingin
185,Spring,2011,January,23:00,No,Saturday,No,Clear,0.1,0.0606,0.39,0.4478,0,22,22,4.1000000000000005,Dingin
186,Spring,2011,January,00:00,No,Sunday,No,Clear,0.1,0.0758,0.42,0.3881,1,24,25,4.1000000000000005,Dingin
187,Spring,2011,January,01:00,No,Sunday,No,Clear,0.1,0.0606,0.42,0.4627,0,12,12,4.1000000000000005,Dingin
188,Spring,2011,January,02:00,No,Sunday,No,Clear,0.1,0.0606,0.46,0.4627,0,11,11,4.1000000000000005,Dingin
189,Spring,2011,January,03:00,No,Sunday,No,Clear,0.1,0.0758,0.46,0.4179,0,4,4,4.1000000000000005,Dingin
190,Spring,2011,January,04:00,No,Sunday,No,Clear,0.08,0.0909,0.53,0.194,0,1,1,3.2800000000000002,Dingin
191,Spring,2011,January,05:00,No,Sunday,No,Clear,0.08,0.0909,0.53,0.194,0,1,1,3.2800000000000002,Dingin
192,Spring,2011,January,06:00,No,Sunday,No,Clear,0.1,0.0909,0.49,0.2836,0,1,1,4.1000000000000005,Dingin
193,Spring,2011,January,07:00,No,Sunday,No,Clear,0.08,0.0909,0.53,0.194,1,5,6,3.2800000000000002,Dingin
194,Spring,2011,January,08:00,No,Sunday,No,Clear,0.1,0.0909,0.49,0.2836,0,10,10,4.1000000000000005,Dingin
195,Spring,2011,January,09:00,No,Sunday,No,Clear,0.12,0.0758,0.46,0.5224,0,19,19,4.92,Dingin
196,Spring,2011,January,10:00,No,Sunday,No,Clear,0.14,0.1061,0.43,0.3881,0,49,49,5.74,Dingin
197,Spring,2011,January,11:00,No,Sunday,No,Clear,0.16,0.1212,0.4,0.5224,2,47,49,6.5600000000000005,Dingin
198,Spring,2011,January,12:00,No,Sunday,No,Clear,0.18,0.1364,0.37,0.4478,4,79,83,7.38,Dingin
199,Spring,2011,January,13:00,No,Sunday,No,Clear,0.2,0.1667,0.34,0.4478,6,69,75,8.200000000000001,Dingin
200,Spring,2011,January,14:00,No,Sunday,No,Clear,0.22,0.1818,0.32,0.4627,8,64,72,9.02,Dingin
201,Spring,2011,January,15:00,No,Sunday,No,Clear,0.22,0.197,0.35,0.3582,5,77,82,9.02,Dingin
202,Spring,2011,January,16:00,No,Sunday,No,Clear,0.2,0.1667,0.34,0.4478,13,79,92,8.200000000000001,Dingin
203,Spring,2011,January,17:00,No,Sunday,No,Clear,0.18,0.1515,0.37,0.3881,3,59,62,7.38,Dingin
204,Spring,2011,January,18:00,No,Sunday,No,Clear,0.16,0.1364,0.4,0.3284,4,44,48,6.5600000000000005,Dingin
205,Spring,2011,January,19:00,No,Sunday,No,Clear,0.16,0.1364,0.43,0.3284,1,40,41,6.5600000000000005,Dingin
206,Spring,2011,January,20:00,No,Sunday,No,Clear,0.14,0.1212,0.46,0.2537,0,38,38,5.74,Dingin
207,Spring,2011,January,21:00,No,Sunday,No,Clear,0.14,0.1061,0.46,0.4179,1,19,20,5.74,Dingin
208,Spring,2011,January,22:00,No,Sunday,No,Clear,0.14,0.1212,0.46,0.2985,5,10,15,5.74,Dingin
209,Spring,2011,January,23:00,No,Sunday,No,Clear,0.12,0.1364,0.5,0.194,0,6,6,4.92,Dingin
210,Spring,2011,January,00:00,No,Monday,Yes,Clear,0.12,0.1212,0.5,0.2836,2,3,5,4.92,Dingin
